"Object designation","Removal date in UTC","VI date in UTC","Last IP","Last PS"
"2024JO1","2024-05-06 13:03","2102-05-03 21:52","9.83E-11","-11.58"
"2024JX1","2024-05-06 12:47","2098-10-17 16:52","1.05E-08","-8.40"
"2024HL2","2024-05-05 13:25","2097-05-12 09:30","1.33E-08","-8.24"
"2024HO2","2024-05-03 14:56","2108-04-28 22:59","3.99E-08","-9.79"
"2024JD","2024-05-03 13:03","2116-05-07 01:39","2.66E-06","-7.22"
"2005WN3","2024-05-02 08:54","2024-04-15 09:46","5.11E-09","-8.20"
"2022AA5","2024-05-01 15:30","2099-02-14 13:06","5.68E-09","-7.81"
"2024HW1","2024-05-01 13:13","2049-05-07 13:46","3.31E-06","-5.79"
"2024HO","2024-04-20 12:42","2065-04-18 03:03","3.42E-11","-12.15"
"2024HU","2024-04-20 12:41","2082-04-13 13:22","1.37E-08","-6.92"
"2024HB","2024-04-18 14:12","2114-04-15 23:49","1.15E-09","-10.46"
"2024GM5","2024-04-18 13:49","2116-08-11 18:48","7.54E-09","-9.83"
"2023YB2","2024-04-18 13:07","2123-02-10 09:51","6.99E-09","-7.80"
"2024GX3","2024-04-13 13:36","2119-04-11 18:39","3.67E-08","-9.92"
"2024GJ2","2024-04-11 13:59","2116-11-12 03:07","1.05E-07","-9.70"
"2024GF2","2024-04-11 12:54","2079-03-02 08:01","8.81E-09","-5.86"
